 INFO 2015-04-23 11:45:45,844 [main] (TestEngine.java:85) - Started executing Test Set :Items_Positive_Scenarios
 INFO 2015-04-23 11:46:26,034 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-23 11:48:52,530 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Item'
 INFO 2015-04-23 11:48:56,154 [main] (StartPoint.java:82) - Execution is completed
 INFO 2015-04-23 11:53:53,545 [main] (StartPoint.java:33) - Configuration log4j is successful
 INFO 2015-04-23 11:53:53,733 [main] (StartPoint.java:62) -  [1] suite/s for execution
 INFO 2015-04-23 11:53:53,734 [main] (StartPoint.java:77) - Initialization successful
 INFO 2015-04-23 11:53:53,861 [main] (StartPoint.java:79) - Starting execution
 INFO 2015-04-23 11:53:53,862 [main] (TestEngine.java:68) - Total 4 sets for execution in [Items API] suite
 INFO 2015-04-23 11:53:53,863 [main] (TestEngine.java:79) - Total 1 test cases for execution in Items_Positive_Scenarios set
 INFO 2015-04-23 11:53:53,863 [main] (TestEngine.java:85) - Started executing Test Set :Items_Positive_Scenarios
 INFO 2015-04-23 11:53:53,864 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-23 11:53:58,279 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Item'
 INFO 2015-04-23 11:53:58,280 [main] (TestEngine.java:79) - Total 1 test cases for execution in Items_Negative_Scenarios set
 INFO 2015-04-23 11:53:58,281 [main] (TestEngine.java:85) - Started executing Test Set :Items_Negative_Scenarios
 INFO 2015-04-23 11:53:58,281 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-23 11:54:02,394 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Item with blank item ID'
 INFO 2015-04-23 11:54:02,395 [main] (TestEngine.java:79) - Total 1 test cases for execution in Set_Positive_Scenarios set
 INFO 2015-04-23 11:54:02,396 [main] (TestEngine.java:85) - Started executing Test Set :Set_Positive_Scenarios
 INFO 2015-04-23 11:54:02,397 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-23 11:54:06,512 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Set'
 INFO 2015-04-23 11:54:06,513 [main] (TestEngine.java:79) - Total 1 test cases for execution in Set_Negative_Scenarios set
 INFO 2015-04-23 11:54:06,514 [main] (TestEngine.java:85) - Started executing Test Set :Set_Negative_Scenarios
 INFO 2015-04-23 11:54:06,514 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-23 11:54:10,702 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Set with blank Set ID'
 INFO 2015-04-23 11:54:10,705 [main] (StartPoint.java:82) - Execution is completed
 INFO 2015-04-23 12:03:08,132 [main] (StartPoint.java:33) - Configuration log4j is successful
 INFO 2015-04-23 12:03:08,319 [main] (StartPoint.java:62) -  [1] suite/s for execution
 INFO 2015-04-23 12:03:08,319 [main] (StartPoint.java:77) - Initialization successful
 INFO 2015-04-23 12:03:08,435 [main] (StartPoint.java:79) - Starting execution
